cik,fiscal_year,enforced
0000887247,2013,1
0000887247,2014,1
0000887247,2015,1
0000887247,2016,1
0000887247,2017,1
0000887247,2018,1
0000887247,2019,1
0000887247,2020,1
0000887247,2021,1
0000887247,2022,1
0000887359,2016,0
0000887359,2017,0
0000887359,2018,0
0000887359,2019,0
0000887359,2020,0
0000887359,2021,0
0000887359,2022,0
0000887359,2023,0
0000887359,2024,0
0000887359,2025,0
0000888491,2020,0
0000888491,2021,0
0000888491,2022,0
0000888491,2023,0
0000888491,2024,0
0000888491,2025,0
0000889353,2022,0
0000889353,2023,0
0000889353,2024,0
0000889353,2025,0
0000890394,2016,0
0000890394,2017,0
0000890394,2021,0
0000890394,2022,0
0000890394,2024,0
0000890821,2017,0
0000890821,2018,0
0000890821,2019,0
0000890821,2022,0
0000890821,2023,0
0000890821,2024,0
0000890821,2025,0
0000891482,2019,0
0000891532,2016,0
0000892553,2021,0
0000893538,2016,0
0000894158,2016,0
0000894158,2017,0
0000894158,2019,0
0000894158,2023,0
0000894158,2024,0
0000894158,2025,0
0000894501,2021,0
0000894501,2022,0
0000894501,2023,0
0000894501,2024,0
0000894501,2025,0
0000895126,2016,0
0000895126,2020,0
0000895126,2021,0
0000895417,2016,0
0000895419,2025,0
0000896622,2016,0
0000897448,2016,0
0000897448,2017,0
0000897448,2019,0
0000897448,2020,0
0000897448,2021,0
0000897448,2022,0
0000897448,2023,0
0000897448,2024,0
0000897448,2025,0
0000899460,2016,0
0000899460,2017,0
0000899460,2018,0
0000899460,2019,0
0000899460,2020,0
0000899715,2016,0
0000900075,2017,0
0000906107,2016,0
0000907242,2016,0
0000907254,2020,0
0000907254,2021,0
0000907254,2022,0
0000907654,2016,0
0000907654,2017,0
0000907654,2018,0
0000907654,2019,0
0000907654,2020,0
0000907654,2021,0
0000907654,2022,0
0000907654,2023,0
0000910073,2016,0
0000910073,2023,0
0000910329,2017,1
0000910406,2016,1
0000910606,2016,0
0000910612,2016,0
0000910612,2020,0
0000910612,2021,0
0000911216,2022,0
0000911216,2023,0
0000911216,2024,0
0000911216,2025,0
0000912242,2019,0
0000912242,2020,0
0000912242,2023,0
0000912242,2024,0
0000912595,2016,0
0000912766,2019,0
0000912766,2020,0
0000913142,2016,0
0000914139,2016,0
0000914139,2017,0
0000914139,2018,0
0000914139,2019,0
0000914139,2020,0
0000914139,2021,0
0000914139,2022,0
0000914139,2023,0
0000914139,2024,0
0000914139,2025,0
0000914475,2016,0
0000915779,2017,0
0000915779,2018,0
0000915779,2019,0
0000915779,2020,0
0000915779,2021,0
0000915779,2022,0
0000915779,2023,0
0000915779,2024,0
0000915779,2025,0
0000915912,2016,0
0000917251,2019,0
0000917251,2020,0
0000917251,2025,0
0000917520,2016,0
0000918251,2017,0
0000918541,2016,0
0000918541,2019,0
0000918541,2020,0
0000918573,2010,0
0000918573,2011,0
0000918573,2012,0
0000918573,2013,0
0000918573,2016,0
0000918573,2024,0
0000918573,2025,0
0000918646,2022,0
0000920371,2016,0
0000921082,2016,0
0000921114,2016,0
0000921114,2019,0
0000921114,2020,0
0000921114,2021,0
0000921114,2022,0
0000921114,2023,0
0000921114,2024,0
0000921114,2025,0
0000921299,2016,0
0000921299,2024,0
0000921299,2025,0
0000921582,2016,0
0000921638,2021,0
0000921825,2022,0
0000921825,2024,0
0000922521,2014,1
0000922521,2015,1
0000922521,2016,1
0000922521,2017,1
0000922521,2018,1
0000922521,2019,1
0000922521,2022,1
0000922621,2016,0
0000923601,2024,0
0000923601,2025,0
0000924168,2016,0
0000924168,2017,0
0000924168,2018,0
0000924168,2019,0
0000924168,2020,0
0000924168,2021,0
0000924168,2022,0
0000924168,2023,0
0000924168,2024,0
0000924168,2025,0
0000926617,2017,0
0000926617,2018,0
0000926617,2019,0
0000926617,2022,0
0000926617,2023,0
0000926617,2024,0
0000926617,2025,0
0000928054,2021,0
0000928054,2022,0
0000928054,2023,0
0000929008,2016,0
0000930245,2016,0
0000930245,2021,0
0000930245,2022,0
0000930245,2023,0
0000930245,2024,0
0000930245,2025,0
0000932021,2021,0
0000932021,2022,0
0000932021,2023,0
0000932021,2024,0
0000932021,2025,0
0000934549,2016,0
0000939930,2015,1
0000939930,2017,1
0000939930,2020,1
0000939930,2021,1
0000940942,2016,0
0000944695,2016,0
0000944765,2014,1
0000944809,2016,0
0000945828,2011,0
0000945828,2012,0
0000945828,2013,0
0000945828,2015,0
